Date,Inverted Position,Trend, Inverted Position
2023-10-23,50,#wtylewizji,
2023-10-23,49,#mjakmiłość,
2023-10-23,48,#STMWAR,
2023-10-23,47,#tsoaJP,
2023-10-23,46,#ZamachNaWybory,
2023-10-23,45,Olejnik,
2023-10-23,44,DONT LIE,
2023-10-23,43,Mielcu,
2023-10-23,42,Marc Guiu,
2023-10-23,41,Norweżka,
2023-10-23,40,Norwegii,
2023-10-23,39,Fogiel,
2023-10-23,38,Wojtunik,
2023-10-23,37,Biejat,
2023-10-23,36,Lucieniu,
2023-10-23,35,W 2023,
2023-10-23,34,Dmowski,
2023-10-23,33,5 YEARS WITH ATEEZ,
2023-10-23,32,Warty,
2023-10-23,31,Kazimierz Deyna,
2023-10-23,30,IKONOWICZ,
2023-10-23,29,Stali,
2023-10-23,28,Louis Tomlinson,
2023-10-23,27,Lewis,
2023-10-23,26,Władimir Putin,
2023-10-23,25,Reeda,
2023-10-23,24,Inigo,
2023-10-23,23,Taemina,
2023-10-23,22,Cancelo,
2023-10-23,21,Hamilton,
2023-10-23,20,Żaryn,
2023-10-23,19,Miłego,
2023-10-23,18,Grzegorza Borysa,
2023-10-23,17,Kapcie,
2023-10-23,16,Modlinie,
2023-10-23,15,Milei,
2023-10-23,14,Lando,
2023-10-23,13,Dawid Podsiadło,
2023-10-23,12,Do Rzeczy,
2023-10-23,11,Balcerowicza,
2023-10-23,10,NATO,
2023-10-23,9,Max Verstappen,
2023-10-23,8,Giroud,
2023-10-23,7,gp usa,
2023-10-23,6,Hobi,
2023-10-23,5,Halloween,
2023-10-23,4,Mariusz Kamiński,
2023-10-23,3,norrisa,
2023-10-23,2,felixa,
2023-10-23,1,The $CAKE Airdrop,
2023-10-23,50,#tsoaJP,
2023-10-23,49,#STMWAR,
2023-10-23,48,#mjakmiłość,
2023-10-23,47,#ZamachNaWybory,
2023-10-23,46,#Minela20,
2023-10-23,45,Mielcu,
2023-10-23,44,Norwegii,
2023-10-23,43,DONT LIE,
2023-10-23,42,Marc Guiu,
2023-10-23,41,Norweżka,
2023-10-23,40,Fogiel,
2023-10-23,39,Olejnik,
2023-10-23,38,Wojtunik,
2023-10-23,37,Biejat,
2023-10-23,36,W 2023,
2023-10-23,35,Juve,
2023-10-23,34,Lucieniu,
2023-10-23,33,Dmowski,
2023-10-23,32,5 YEARS WITH ATEEZ,
2023-10-23,31,Kazimierz Deyna,
2023-10-23,30,Louis Tomlinson,
2023-10-23,29,IKONOWICZ,
2023-10-23,28,Grzegorza Borysa,
2023-10-23,27,Balcerowicza,
2023-10-23,26,Kosta,
2023-10-23,25,Stali,
2023-10-23,24,Lewis,
2023-10-23,23,Władimir Putin,
2023-10-23,22,Inigo,
2023-10-23,21,Cancelo,
2023-10-23,20,Hamilton,
2023-10-23,19,Argentynie,
2023-10-23,18,Miłego,
2023-10-23,17,Żaryn,
2023-10-23,16,Lando,
2023-10-23,15,Kapcie,
2023-10-23,14,Modlinie,
2023-10-23,13,Żydów,
2023-10-23,12,San Siro,
2023-10-23,11,Milei,
2023-10-23,10,Turowa,
2023-10-23,9,Lyon,
2023-10-23,8,Dawid Podsiadło,
2023-10-23,7,Do Rzeczy,
2023-10-23,6,Ratio,
2023-10-23,5,Norwegian,
2023-10-23,4,Ajax,
2023-10-23,3,NATO,
2023-10-23,2,Max Verstappen,
2023-10-23,1,Warty,
2023-10-23,50,#STMWAR,
2023-10-23,49,#tsoaJP,
2023-10-23,48,#ZamachNaWybory,
2023-10-23,47,#ViaF1,
2023-10-23,46,Norwegii,
2023-10-23,45,DONT LIE,
2023-10-23,44,#strefastarcia,
2023-10-23,43,Marc Guiu,
2023-10-23,42,Norweżka,
2023-10-23,41,szrot,
2023-10-23,40,Fogiel,
2023-10-23,39,Wojtunik,
2023-10-23,38,Biejat,
2023-10-23,37,W 2023,
2023-10-23,36,Juve,
2023-10-23,35,Lucieniu,
2023-10-23,34,Dmowski,
2023-10-23,33,Kazimierz Deyna,
2023-10-23,32,5 YEARS WITH ATEEZ,
2023-10-23,31,Louis Tomlinson,
2023-10-23,30,Fermin,
2023-10-23,29,IKONOWICZ,
2023-10-23,28,Grzegorza Borysa,
2023-10-23,27,Balcerowicza,
2023-10-23,26,Kosta,
2023-10-23,25,Lando,
2023-10-23,24,Lewis,
2023-10-23,23,Żaryn,
2023-10-23,22,Olejnik,
2023-10-23,21,Inigo,
2023-10-23,20,Kapcie,
2023-10-23,19,spinacze,
2023-10-23,18,Ter Stegen,
2023-10-23,17,Żydów,
2023-10-23,16,Hamilton,
2023-10-23,15,Argentynie,
2023-10-23,14,Miłego,
2023-10-23,13,Dawid Podsiadło,
2023-10-23,12,SEVENTEEN,
2023-10-23,11,Cancelo,
2023-10-23,10,Władimir Putin,
2023-10-23,9,warzecha,
2023-10-23,8,San Siro,
2023-10-23,7,Milei,
2023-10-23,6,Turowa,
2023-10-23,5,Lyon,
2023-10-23,4,Do Rzeczy,
2023-10-23,3,Ratio,
2023-10-23,2,Norwegian,
2023-10-23,1,Ajax,
2023-10-23,50,#AllOfThoseVoices,
2023-10-23,49,#ZamachNaWybory,
2023-10-23,48,#ARKZNI,
2023-10-23,47,#ViaF1,
2023-10-23,46,DONT LIE,
2023-10-23,45,Norwegii,
2023-10-23,44,#strefastarcia,
2023-10-23,43,Norweżka,
2023-10-23,42,Guiu,
2023-10-23,41,szrot,
2023-10-23,40,Wojtunik,
2023-10-23,39,Fogiel,
2023-10-23,38,W 2023,
2023-10-23,37,baekhyun,
2023-10-23,36,Biejat,
2023-10-23,35,NATO,
2023-10-23,34,Lucieniu,
2023-10-23,33,Juve,
2023-10-23,32,Dmowski,
2023-10-23,31,5 YEARS WITH ATEEZ,
2023-10-23,30,Kazimierz Deyna,
2023-10-23,29,Louis Tomlinson,
2023-10-23,28,Fermin,
2023-10-23,27,Grzegorza Borysa,
2023-10-23,26,mołek,
2023-10-23,25,IKONOWICZ,
2023-10-23,24,Balcerowicza,
2023-10-23,23,Kosta,
2023-10-23,22,Lando,
2023-10-23,21,Lewis,
2023-10-23,20,Inigo,
2023-10-23,19,Żaryn,
2023-10-23,18,Żydów,
2023-10-23,17,Kapcie,
2023-10-23,16,spinacze,
2023-10-23,15,Do Rzeczy,
2023-10-23,14,Ter Stegen,
2023-10-23,13,Widzew,
2023-10-23,12,Hamilton,
2023-10-23,11,The $CAKE Airdrop,
2023-10-23,10,Argentynie,
2023-10-23,9,Miłego,
2023-10-23,8,SEVENTEEN,
2023-10-23,7,warzecha,
2023-10-23,6,San Siro,
2023-10-23,5,Milei,
2023-10-23,4,Lyon,
2023-10-23,3,Cancelo,
2023-10-23,2,Putin,
2023-10-23,1,Dawid Podsiadło,
2023-10-23,50,#allofthosevoices,
2023-10-23,49,#ZamachNaWybory,
2023-10-23,48,DONT LIE,
2023-10-23,47,#5YearsSailingwithATEEZ,
2023-10-23,46,#ViaF1,
2023-10-23,45,#큰_항해가_펼쳐질_에이티즈5주년,
2023-10-23,44,Norwegii,
2023-10-23,43,Marc Guiu,
2023-10-23,42,Norweżka,
2023-10-23,41,Fogiel,
2023-10-23,40,W 2023,
2023-10-23,39,szrot,
2023-10-23,38,Wojtunik,
2023-10-23,37,Putin,
2023-10-23,36,5 YEARS WITH ATEEZ,
2023-10-23,35,Biejat,
2023-10-23,34,baekhyun,
2023-10-23,33,NATO,
2023-10-23,32,Juve,
2023-10-23,31,Lucieniu,
2023-10-23,30,Dmowski,
2023-10-23,29,Lando,
2023-10-23,28,Ajax,
2023-10-23,27,Grzegorza Borysa,
2023-10-23,26,Lewis,
2023-10-23,25,Louis Tomlinson,
2023-10-23,24,Fermin,
2023-10-23,23,Mołek,
2023-10-23,22,przygarnąć,
2023-10-23,21,Ikonowicz,
2023-10-23,20,maxa,
2023-10-23,19,Balcerowicza,
2023-10-23,18,Argentynie,
2023-10-23,17,Kosta,
2023-10-23,16,Szwecji,
2023-10-23,15,Żydów,
2023-10-23,14,Inigo,
2023-10-23,13,Kazimierz Deyna,
2023-10-23,12,Norwegian,
2023-10-23,11,spinacze,
2023-10-23,10,Kapcie,
2023-10-23,9,Do Rzeczy,
2023-10-23,8,Leclerc,
2023-10-23,7,Ter Stegen,
2023-10-23,6,Widzew,
2023-10-23,5,Hamilton,
2023-10-23,4,Cancelo,
2023-10-23,3,The $CAKE Airdrop,
2023-10-23,2,Miłego,
2023-10-23,1,SEVENTEEN,
2023-10-23,50,#allofthosevoices,
2023-10-23,49,#ZamachNaWybory,
2023-10-23,48,#ViaF1,
2023-10-23,47,norwegii,
2023-10-23,46,DONT LIE,
2023-10-23,45,Norweżka,
2023-10-23,44,#큰_항해가_펼쳐질_에이티즈5주년,
2023-10-23,43,#wloskarobota,
2023-10-23,42,Marc Guiu,
2023-10-23,41,Putin,
2023-10-23,40,Fogiel,
2023-10-23,39,W 2023,
2023-10-23,38,szrot,
2023-10-23,37,Biejat,
2023-10-23,36,Wojtunik,
2023-10-23,35,baekhyun,
2023-10-23,34,Juve,
2023-10-23,33,Szwecji,
2023-10-23,32,NATO,
2023-10-23,31,Lucieniu,
2023-10-23,30,Dmowski,
2023-10-23,29,Balcerowicza,
2023-10-23,28,Lando,
2023-10-23,27,Ajax,
2023-10-23,26,Grzegorza Borysa,
2023-10-23,25,Lewis,
2023-10-23,24,Ikonowicz,
2023-10-23,23,Fermin,
2023-10-23,22,Mołek,
2023-10-23,21,przygarnąć,
2023-10-23,20,maxa,
2023-10-23,19,Argentynie,
2023-10-23,18,Do Rzeczy,
2023-10-23,17,Kosta,
2023-10-23,16,Kazimierz Deyna,
2023-10-23,15,Hamiltona,
2023-10-23,14,leclerca,
2023-10-23,13,louis tomlinson,
2023-10-23,12,Żydów,
2023-10-23,11,Inigo,
2023-10-23,10,Norwegian,
2023-10-23,9,Śląsk,
2023-10-23,8,spinacze,
2023-10-23,7,Ter Stegen,
2023-10-23,6,Widzewa,
2023-10-23,5,Pawlak,
2023-10-23,4,Cancelo,
2023-10-23,3,The $CAKE Airdrop,
2023-10-23,2,miłego,
2023-10-23,1,Kapcie,
2023-10-23,50,#allofthosevoices,
2023-10-23,49,#ZamachNaWybory,
2023-10-23,48,#ViaF1,
2023-10-23,47,Norwegii,
2023-10-23,46,dont lie,
2023-10-23,45,Norweżka,
2023-10-23,44,#F1PL,
2023-10-23,43,#woronicza17,
2023-10-23,42,Marc Guiu,
2023-10-23,41,Fogiel,
2023-10-23,40,W 2023,
2023-10-23,39,Biejat,
2023-10-23,38,szrot,
2023-10-23,37,Juve,
2023-10-23,36,Wojtunik,
2023-10-23,35,Lando,
2023-10-23,34,Dmowski,
2023-10-23,33,Balcerowicza,
2023-10-23,32,Lewis,
2023-10-23,31,Norwegian,
2023-10-23,30,Ajax,
2023-10-23,29,Lucieniu,
2023-10-23,28,Ikonowicz,
2023-10-23,27,argentynie,
2023-10-23,26,Grzegorza Borysa,
2023-10-23,25,Fermin,
2023-10-23,24,Putin,
2023-10-23,23,Mołek,
2023-10-23,22,przygarnąć,
2023-10-23,21,Żydów,
2023-10-23,20,Maxa,
2023-10-23,19,Miłego,
2023-10-23,18,Do Rzeczy,
2023-10-23,17,Kosta,
2023-10-23,16,Kazimierz Deyna,
2023-10-23,15,Hamiltona,
2023-10-23,14,leclerca,
2023-10-23,13,Kapcie,
2023-10-23,12,Inigo,
2023-10-23,11,Śląsk,
2023-10-23,10,spinacze,
2023-10-23,9,Ter Stegen,
2023-10-23,8,Louis Tomlinson,
2023-10-23,7,Cancelo,
2023-10-23,6,Widzewa,
2023-10-23,5,The $CAKE Airdrop,
2023-10-23,4,hobi,
2023-10-23,3,Kamiński,
2023-10-23,2,Charles,
2023-10-23,1,Górnika,
2023-10-23,50,#allofthosevoices,
2023-10-23,49,#ViaF1,
2023-10-23,48,#ZamachNaWybory,
2023-10-23,47,Norwegii,
2023-10-23,46,#f1pl,
2023-10-23,45,DONT LIE,
2023-10-23,44,Norweżka,
2023-10-23,43,#woronicza17,
2023-10-23,42,Marc Guiu,
2023-10-23,41,Fogiel,
2023-10-23,40,Biejat,
2023-10-23,39,W 2023,
2023-10-23,38,szrot,
2023-10-23,37,hobi,
2023-10-23,36,Juve,
2023-10-23,35,Lando,
2023-10-23,34,Wojtunik,
2023-10-23,33,Lewis,
2023-10-23,32,Norwegian,
2023-10-23,31,Balcerowicza,
2023-10-23,30,Do Rzeczy,
2023-10-23,29,Ajax,
2023-10-23,28,Miłego,
2023-10-23,27,Dmowski,
2023-10-23,26,Lucieniu,
2023-10-23,25,Fermin,
2023-10-23,24,Argentynie,
2023-10-23,23,Mołek,
2023-10-23,22,przygarnąć,
2023-10-23,21,Ikonowicz,
2023-10-23,20,Żydów,
2023-10-23,19,Widzew,
2023-10-23,18,Maxa,
2023-10-23,17,Hamilton,
2023-10-23,16,Kosta,
2023-10-23,15,GP USA,
2023-10-23,14,leclerca,
2023-10-23,13,Norway,
2023-10-23,12,Kapcie,
2023-10-23,11,the $cake airdrop,
2023-10-23,10,Inigo,
2023-10-23,9,Śląsk,
2023-10-23,8,spinacze,
2023-10-23,7,dawid podsiadło,
2023-10-23,6,Ter Stegen,
2023-10-23,5,Legia,
2023-10-23,4,Grzegorza Borysa,
2023-10-23,3,Cancelo,
2023-10-23,2,Kazimierz Deyna,
2023-10-23,1,Charles,
2023-10-23,50,#allofthosevoices,
2023-10-23,49,#ZamachNaWybory,
2023-10-23,48,#ViaF1,
2023-10-23,47,Norwegii,
2023-10-23,46,Norweżka,
2023-10-23,45,#F1PL,
2023-10-23,44,DONT LIE,
2023-10-23,43,#woronicza17,
2023-10-23,42,Marc Guiu,
2023-10-23,41,Fogiel,
2023-10-23,40,W 2023,
2023-10-23,39,Biejat,
2023-10-23,38,szrot,
2023-10-23,37,hobi,
2023-10-23,36,Juve,
2023-10-23,35,Lando,
2023-10-23,34,Lewis,
2023-10-23,33,Wojtunik,
2023-10-23,32,SEVENTEEN,
2023-10-23,31,Ikonowicz,
2023-10-23,30,Żydów,
2023-10-23,29,Norwegian,
2023-10-23,28,Do Rzeczy,
2023-10-23,27,Ajax,
2023-10-23,26,Miłego,
2023-10-23,25,Balcerowicza,
2023-10-23,24,Argentynie,
2023-10-23,23,Dmowski,
2023-10-23,22,Fermin,
2023-10-23,21,przygarnąć,
2023-10-23,20,zaplątani,
2023-10-23,19,Widzew,
2023-10-23,18,Maxa,
2023-10-23,17,Lucieniu,
2023-10-23,16,Ferran,
2023-10-23,15,Hamilton,
2023-10-23,14,Kosta,
2023-10-23,13,GP USA,
2023-10-23,12,Mołek,
2023-10-23,11,leclerca,
2023-10-23,10,Norway,
2023-10-23,9,Cancelo,
2023-10-23,8,The $CAKE Airdrop,
2023-10-23,7,Milei,
2023-10-23,6,Inigo,
2023-10-23,5,Ferrari,
2023-10-23,4,spinacze,
2023-10-23,3,dawid podsiadło,
2023-10-23,2,Ter Stegen,
2023-10-23,1,Kapcie,
2023-10-23,50,#AllOfThoseVoices,
2023-10-23,49,#ViaF1,
2023-10-23,48,#ZamachNaWybory,
2023-10-23,47,Norwegii,
